cciBuy,8/25/2022 3:14,4180.25,-37.5,-8087.5
cciExit,8/25/2022 3:10,4179.25,-175,-8050
cciBuy,8/25/2022 3:04,4182.75,-175,-8050
cciExit,8/25/2022 1:40,4158,-25,-7875
cciBuy,8/25/2022 1:40,4158.5,-25,-7875
cciExit,8/25/2022 1:30,4159,-25,-7850
cciBuy,8/25/2022 1:28,4159.5,-25,-7850
cciExit,8/25/2022 1:19,4160.5,-50,-7825
cciBuy,8/25/2022 1:18,4161.5,-50,-7825
cciExit,8/25/2022 0:18,4154.75,87.5,-7775
cciBuy,8/24/2022 23:50,4153,87.5,-7775
cciExit,8/24/2022 23:48,4152.75,-25,-7862.5
cciBuy,8/24/2022 23:45,4153.25,-25,-7862.5
cciExit,8/24/2022 23:41,4153,-37.5,-7837.5
cciBuy,8/24/2022 23:39,4153.75,-37.5,-7837.5
cciExit,8/24/2022 23:32,4154.75,-37.5,-7800
cciBuy,8/24/2022 23:28,4155.5,-37.5,-7800
cciExit,8/24/2022 23:23,4155.25,12.5,-7762.5
cciBuy,8/24/2022 23:05,4155,12.5,-7762.5
cciExit,8/24/2022 23:03,4154.25,-37.5,-7775
cciBuy,8/24/2022 22:56,4155,-37.5,-7775
cciExit,8/24/2022 22:39,4155.5,75,-7737.5
cciBuy,8/24/2022 22:19,4154,75,-7737.5
cciExit,8/24/2022 22:15,4153.25,-25,-7812.5
cciBuy,8/24/2022 22:14,4153.75,-25,-7812.5
cciExit,8/24/2022 22:11,4153.75,-50,-7787.5
cciBuy,8/24/2022 22:09,4154.75,-50,-7787.5
cciExit,8/24/2022 22:04,4154.5,0,-7737.5
cciBuy,8/24/2022 22:04,4154.5,0,-7737.5
cciExit,8/24/2022 22:01,4154.75,-25,-7737.5
cciBuy,8/24/2022 22:01,4155.25,-25,-7737.5
cciExit,8/24/2022 21:47,4154.75,62.5,-7712.5
cciBuy,8/24/2022 21:16,4153.5,62.5,-7712.5
cciExit,8/24/2022 21:14,4152.25,-25,-7775
cciBuy,8/24/2022 21:12,4152.75,-25,-7775
cciExit,8/24/2022 21:08,4152.75,-12.5,-7750
cciBuy,8/24/2022 21:08,4153,-12.5,-7750
cciExit,8/24/2022 20:22,4145.75,87.5,-7737.5
cciBuy,8/24/2022 20:05,4144,87.5,-7737.5
